                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                 1.1156,                0.81043,                 1.0673,                0.87881,                0.70825,                0.82599,                0.64327,                 1.0303,                0.99078,                 1.1049,              0.0086932,              0.0086932,              0.0086932
                    134,                 0.9428,                0.65297,                0.99847,                 0.9416,                  0.741,                0.84043,                0.63518,                 1.0786,                0.99515,                  1.114,              0.0086833,              0.0086833,              0.0086833
                    135,                0.98626,                0.76604,                 1.1102,                 0.9416,                  0.741,                0.84043,                0.63518,                 1.0786,                0.99515,                  1.114,              0.0086734,              0.0086734,              0.0086734
                    136,                0.98987,                 0.7513,                   1.22,                0.95002,                0.77515,                0.84206,                0.63839,                 1.0905,                0.76255,                 1.1065,              0.0086635,              0.0086635,              0.0086635
                    137,                 1.0358,                0.74622,                 1.1068,                0.95002,                0.77515,                0.84206,                0.63839,                 1.0905,                0.76255,                 1.1065,              0.0086536,              0.0086536,              0.0086536
                    138,                0.95702,                0.67908,                 1.0555,                0.89488,                0.77848,                0.82586,                0.63856,                 1.0996,                0.88254,                 1.1057,              0.0086437,              0.0086437,              0.0086437
                    139,                 1.0389,                0.73026,                  1.062,                0.89488,                0.77848,                0.82586,                0.63856,                 1.0996,                0.88254,                 1.1057,              0.0086338,              0.0086338,              0.0086338
                    140,                 1.0564,                0.74957,                 1.1344,                0.95666,                0.72797,                0.84056,                 0.6416,                 1.0624,                0.78093,                 1.0924,              0.0086239,              0.0086239,              0.0086239
                    141,                0.89078,                0.61918,                0.98754,                0.95666,                0.72797,                0.84056,                 0.6416,                 1.0624,                0.78093,                 1.0924,               0.008614,               0.008614,               0.008614
                    142,                0.97643,                0.65879,                 1.1221,                0.87849,                  0.726,                0.83985,                0.65445,                 1.0912,                0.89161,                 1.1418,              0.0086041,              0.0086041,              0.0086041
                    143,                 1.0325,                0.71192,                 1.1515,                0.87849,                  0.726,                0.83985,                0.65445,                 1.0912,                0.89161,                 1.1418,              0.0085942,              0.0085942,              0.0085942
