                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.0703,                0.95983,                0.98948,                0.00093,                0.27778,                0.00106,                0.00058,                 2.6273,                 946.14,                 4.6653,              0.0080906,              0.0050906,              0.0050906
                     50,                  1.108,                 1.0429,                 1.0237,                0.00082,                0.22222,                0.00069,                0.00034,                 2.6927,                 227.67,                 3.8518,              0.0060975,              0.0050975,              0.0050975
                     51,                 1.1082,                0.89391,                 1.0143,                0.00082,                0.22222,                0.00069,                0.00034,                 2.6927,                 227.67,                 3.8518,                0.00505,                0.00505,                0.00505
                     52,                 1.2581,                0.95544,                 1.0279,                  0.272,                0.43895,                0.23937,                0.16787,                 1.8741,                 48.826,                 1.7485,               0.004951,               0.004951,               0.004951
                     53,                 1.2089,                0.86214,                 1.0293,                  0.272,                0.43895,                0.23937,                0.16787,                 1.8741,                 48.826,                 1.7485,               0.004852,               0.004852,               0.004852
                     54,                 1.1569,                0.95415,                 1.0181,                0.62347,                0.44325,                0.46653,                0.32057,                 1.4591,                 6.6493,                 1.1863,               0.004753,               0.004753,               0.004753
                     55,                 1.0751,                0.93955,                0.97929,                0.62347,                0.44325,                0.46653,                0.32057,                 1.4591,                 6.6493,                 1.1863,               0.004654,               0.004654,               0.004654
                     56,                 1.0801,                0.84363,                0.94923,                0.65118,                0.44444,                0.49616,                0.30916,                 1.4738,                 3.1346,                 1.1074,               0.004555,               0.004555,               0.004555
                     57,                 1.0897,                0.86506,                 1.0077,                0.65118,                0.44444,                0.49616,                0.30916,                 1.4738,                 3.1346,                 1.1074,               0.004456,               0.004456,               0.004456
                     58,                 1.0695,                0.82623,                0.98859,                0.61698,                0.53624,                0.51262,                0.34305,                 1.4338,                 2.4439,                 1.1276,               0.004357,               0.004357,               0.004357
                     59,                 1.0666,                0.85854,                0.95401,                0.61698,                0.53624,                0.51262,                0.34305,                 1.4338,                 2.4439,                 1.1276,               0.004258,               0.004258,               0.004258
                     60,                 1.0508,                0.79654,                0.99306,                0.61164,                0.40389,                0.48565,                0.35059,                 1.4734,                 2.6675,                 1.2242,               0.004159,               0.004159,               0.004159
                     61,                 1.1264,                 1.0119,                 1.0047,                0.61164,                0.40389,                0.48565,                0.35059,                 1.4734,                 2.6675,                 1.2242,                0.00406,                0.00406,                0.00406
                     62,                 1.0397,                0.80527,                0.98628,                0.71532,                0.70213,                0.67154,                0.49274,                 1.2349,                 1.7152,                 1.0654,               0.003961,               0.003961,               0.003961
